Timestamp,Source IP,Destination IP,Protocol,Src Port,Dst Port,Size
2025-07-08 10:31:57,-,-,OTHER,-,-,78
2025-07-08 10:31:56,192.168.50.143,104.18.19.125,TCP,52584,443,54
2025-07-08 10:31:56,150.129.246.144,192.168.50.143,TCP,80,57308,60
2025-07-08 10:31:56,192.168.50.143,150.129.246.144,TCP,57308,80,54
2025-07-08 10:31:56,192.168.50.143,150.129.246.144,TCP,57308,80,54
2025-07-08 10:31:56,150.129.246.144,192.168.50.143,TCP,80,57308,60
2025-07-08 10:31:56,150.129.246.144,192.168.50.143,TCP,80,57308,241
2025-07-08 10:31:56,150.129.246.144,192.168.50.143,TCP,80,57308,60
2025-07-08 10:31:56,104.18.19.125,192.168.50.143,TCP,443,52584,135
2025-07-08 10:31:56,192.168.50.143,150.129.246.144,HTTP,57308,80,165
2025-07-08 10:31:56,192.168.50.143,150.129.246.144,TCP,57308,80,54
2025-07-08 10:31:56,150.129.246.144,192.168.50.143,TCP,80,57308,66
2025-07-08 10:31:55,192.168.50.143,150.129.246.144,TCP,57308,80,66
2025-07-08 10:31:55,192.168.48.1,192.168.50.143,DNS,53,57114,512
2025-07-08 10:31:55,192.168.50.143,192.168.48.1,DNS,57114,53,83
2025-07-08 10:31:55,104.18.19.125,192.168.50.143,TCP,443,52584,60
2025-07-08 10:31:55,104.18.19.125,192.168.50.143,TCP,443,52584,60
2025-07-08 10:31:55,192.168.50.143,104.18.19.125,TCP,52584,443,85
2025-07-08 10:31:55,192.168.50.143,104.18.19.125,TCP,52584,443,716
2025-07-08 10:31:54,-,-,OTHER,-,-,78
2025-07-08 10:31:52,-,-,OTHER,-,-,78
2025-07-08 10:31:51,192.168.50.143,104.18.19.125,TCP,52584,443,54
2025-07-08 10:31:51,104.18.19.125,192.168.50.143,TCP,443,52584,347
2025-07-08 10:31:50,104.18.19.125,192.168.50.143,TCP,443,52584,60
2025-07-08 10:31:50,192.168.50.143,104.18.19.125,TCP,52584,443,54
2025-07-08 10:31:50,104.18.19.125,192.168.50.143,TCP,443,52584,89
2025-07-08 10:31:50,104.18.19.125,192.168.50.143,TCP,443,52584,89
2025-07-08 10:31:50,192.168.50.143,104.18.19.125,TCP,52584,443,85
2025-07-08 10:31:50,192.168.50.143,104.18.19.125,TCP,52584,443,716
2025-07-08 10:31:49,-,-,OTHER,-,-,78
2025-07-08 10:31:49,-,-,OTHER,-,-,78
2025-07-08 10:31:49,-,-,OTHER,-,-,78
2025-07-08 10:31:49,192.168.50.143,150.129.246.147,TCP,57306,443,54
2025-07-08 10:31:49,150.129.246.147,192.168.50.143,TCP,443,57306,60
2025-07-08 10:31:49,150.129.246.147,192.168.50.143,TCP,443,57306,78
2025-07-08 10:31:49,192.168.50.143,150.129.246.147,TCP,57306,443,54
2025-07-08 10:31:49,192.168.50.143,150.129.246.147,TCP,57306,443,54
2025-07-08 10:31:49,150.129.246.147,192.168.50.143,TCP,443,57306,85
2025-07-08 10:31:49,150.129.246.147,192.168.50.143,TCP,443,57306,210
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,60
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,85
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,54
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,85
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,115
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,60
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,341
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,341
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,60
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,169
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,134
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,134
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,54
2025-07-08 10:31:48,192.168.50.143,150.129.246.147,TCP,57306,443,66
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,1494
2025-07-08 10:31:48,150.129.246.147,192.168.50.143,TCP,443,57306,1115
